date_only;time_label;count_intervention;
09/04/2017;00:00;0;
09/04/2017;00:15;0;
09/04/2017;00:30;0;
09/04/2017;00:45;0;
09/04/2017;01:00;0;
09/04/2017;01:15;0;
09/04/2017;01:30;0;
09/04/2017;01:45;0;
09/04/2017;02:00;0;
09/04/2017;02:15;0;
09/04/2017;02:30;0;
09/04/2017;02:45;0;
09/04/2017;03:00;0;
09/04/2017;03:15;0;
09/04/2017;03:30;0;
09/04/2017;03:45;0;
09/04/2017;04:00;0;
09/04/2017;04:15;0;
09/04/2017;04:30;0;
09/04/2017;04:45;0;
09/04/2017;05:00;0;
09/04/2017;05:15;0;
09/04/2017;05:30;0;
09/04/2017;05:45;0;
09/04/2017;06:00;0;
09/04/2017;06:15;0;
09/04/2017;06:30;0;
09/04/2017;06:45;0;
09/04/2017;07:00;0;
09/04/2017;07:15;0;
09/04/2017;07:30;0;
09/04/2017;07:45;0;
09/04/2017;08:00;0;
09/04/2017;08:15;0;
09/04/2017;08:30;0;
09/04/2017;08:45;0;
09/04/2017;09:00;0;
09/04/2017;09:15;0;
09/04/2017;09:30;0;
09/04/2017;09:45;0;
09/04/2017;10:00;0;
09/04/2017;10:15;1;
09/04/2017;10:30;0;
09/04/2017;10:45;3;
09/04/2017;11:00;3;
09/04/2017;11:15;5;
09/04/2017;11:30;2;
09/04/2017;11:45;9;
09/04/2017;12:00;8;
09/04/2017;12:15;15;
09/04/2017;12:30;15;
09/04/2017;12:45;15;
09/04/2017;13:00;10;
09/04/2017;13:15;10;
09/04/2017;13:30;11;
09/04/2017;13:45;4;
09/04/2017;14:00;5;
09/04/2017;14:15;5;
09/04/2017;14:30;8;
09/04/2017;14:45;11;
09/04/2017;15:00;1;
09/04/2017;15:15;4;
09/04/2017;15:30;6;
09/04/2017;15:45;3;
09/04/2017;16:00;2;
09/04/2017;16:15;4;
09/04/2017;16:30;2;
09/04/2017;16:45;2;
09/04/2017;17:00;2;
09/04/2017;17:15;1;
09/04/2017;17:30;3;
09/04/2017;17:45;0;
09/04/2017;18:00;0;
09/04/2017;18:15;0;
09/04/2017;18:30;0;
09/04/2017;18:45;0;
09/04/2017;19:00;0;
09/04/2017;19:15;0;
09/04/2017;19:30;0;
09/04/2017;19:45;0;
09/04/2017;20:00;0;
09/04/2017;20:15;0;
09/04/2017;20:30;0;
09/04/2017;20:45;0;
09/04/2017;21:00;0;
09/04/2017;21:15;0;
09/04/2017;21:30;0;
09/04/2017;21:45;0;
09/04/2017;22:00;0;
09/04/2017;22:15;0;
09/04/2017;22:30;0;
09/04/2017;22:45;0;
09/04/2017;23:00;0;
09/04/2017;23:15;0;
09/04/2017;23:30;0;
09/04/2017;23:45;0;
08/04/2018;00:00;0;
08/04/2018;00:15;0;
08/04/2018;00:30;0;
08/04/2018;00:45;0;
08/04/2018;01:00;0;
08/04/2018;01:15;0;
08/04/2018;01:30;0;
08/04/2018;01:45;0;
08/04/2018;02:00;0;
08/04/2018;02:15;0;
08/04/2018;02:30;0;
08/04/2018;02:45;0;
08/04/2018;03:00;0;
08/04/2018;03:15;0;
08/04/2018;03:30;0;
08/04/2018;03:45;0;
08/04/2018;04:00;0;
08/04/2018;04:15;0;
08/04/2018;04:30;0;
08/04/2018;04:45;0;
08/04/2018;05:00;0;
08/04/2018;05:15;0;
08/04/2018;05:30;0;
08/04/2018;05:45;0;
08/04/2018;06:00;0;
08/04/2018;06:15;0;
08/04/2018;06:30;0;
08/04/2018;06:45;0;
08/04/2018;07:00;0;
08/04/2018;07:15;0;
08/04/2018;07:30;0;
08/04/2018;07:45;0;
08/04/2018;08:00;1;
08/04/2018;08:15;0;
08/04/2018;08:30;0;
08/04/2018;08:45;0;
08/04/2018;09:00;0;
08/04/2018;09:15;0;
08/04/2018;09:30;0;
08/04/2018;09:45;1;
08/04/2018;10:00;0;
08/04/2018;10:15;1;
08/04/2018;10:30;2;
08/04/2018;10:45;2;
08/04/2018;11:00;1;
08/04/2018;11:15;10;
08/04/2018;11:30;5;
08/04/2018;11:45;12;
08/04/2018;12:00;8;
08/04/2018;12:15;10;
08/04/2018;12:30;9;
08/04/2018;12:45;14;
08/04/2018;13:00;11;
08/04/2018;13:15;12;
08/04/2018;13:30;12;
08/04/2018;13:45;4;
08/04/2018;14:00;4;
08/04/2018;14:15;6;
08/04/2018;14:30;5;
08/04/2018;14:45;6;
08/04/2018;15:00;6;
08/04/2018;15:15;5;
08/04/2018;15:30;2;
08/04/2018;15:45;3;
08/04/2018;16:00;2;
08/04/2018;16:15;1;
08/04/2018;16:30;3;
08/04/2018;16:45;2;
08/04/2018;17:00;3;
08/04/2018;17:15;0;
08/04/2018;17:30;1;
08/04/2018;17:45;1;
08/04/2018;18:00;0;
08/04/2018;18:15;0;
08/04/2018;18:30;0;
08/04/2018;18:45;0;
08/04/2018;19:00;0;
08/04/2018;19:15;0;
08/04/2018;19:30;0;
08/04/2018;19:45;0;
08/04/2018;20:00;0;
08/04/2018;20:15;0;
08/04/2018;20:30;0;
08/04/2018;20:45;0;
08/04/2018;21:00;0;
08/04/2018;21:15;0;
08/04/2018;21:30;0;
08/04/2018;21:45;0;
08/04/2018;22:00;0;
08/04/2018;22:15;0;
08/04/2018;22:30;0;
08/04/2018;22:45;0;
08/04/2018;23:00;0;
08/04/2018;23:15;0;
08/04/2018;23:30;0;
08/04/2018;23:45;0;
14/04/2019;00:00;0;
14/04/2019;00:15;0;
14/04/2019;00:30;0;
14/04/2019;00:45;0;
14/04/2019;01:00;0;
14/04/2019;01:15;0;
14/04/2019;01:30;0;
14/04/2019;01:45;0;
14/04/2019;02:00;0;
14/04/2019;02:15;0;
14/04/2019;02:30;0;
14/04/2019;02:45;0;
14/04/2019;03:00;0;
14/04/2019;03:15;0;
14/04/2019;03:30;0;
14/04/2019;03:45;0;
14/04/2019;04:00;0;
14/04/2019;04:15;0;
14/04/2019;04:30;0;
14/04/2019;04:45;0;
14/04/2019;05:00;0;
14/04/2019;05:15;0;
14/04/2019;05:30;0;
14/04/2019;05:45;0;
14/04/2019;06:00;0;
14/04/2019;06:15;0;
14/04/2019;06:30;0;
14/04/2019;06:45;0;
14/04/2019;07:00;0;
14/04/2019;07:15;0;
14/04/2019;07:30;0;
14/04/2019;07:45;0;
14/04/2019;08:00;0;
14/04/2019;08:15;0;
14/04/2019;08:30;0;
14/04/2019;08:45;0;
14/04/2019;09:00;0;
14/04/2019;09:15;3;
14/04/2019;09:30;1;
14/04/2019;09:45;0;
14/04/2019;10:00;0;
14/04/2019;10:15;0;
14/04/2019;10:30;4;
14/04/2019;10:45;2;
14/04/2019;11:00;2;
14/04/2019;11:15;1;
14/04/2019;11:30;1;
14/04/2019;11:45;0;
14/04/2019;12:00;10;
14/04/2019;12:15;7;
14/04/2019;12:30;1;
